stop_id,stop_name,stop_lat,stop_lon,location_type
10000908,Hlíðardalsvegur / Iðalind,64.098855,-21.862279999999998,0
10000909,Hlíðardalsvegur / Krossalind,64.102216999999996,-21.863889,0
10000910,Lindarvegur,64.100793999999993,-21.871763000000001,0
10000911,Salavegur / Rjúpnasalir,64.090012000000002,-21.843933,0
10000917,Skálaheiði,64.110944000000003,-21.873839,0
10000918,Hjallakirkja,64.109514000000004,-21.866139,0
10000919,Hlíðarhjalli / Fífuhjalli,64.107695000000007,-21.860097,0
10000920,Rjúpnavegur,64.086819,-21.83374,0
10000922,Hörðuvallaskóli,64.084613000000004,-21.825444000000001,0
10000923,Hörðuvallaskóli,64.084677999999997,-21.826077999999999,0
10000925,Rjúpnavegur,64.086905000000002,-21.833584999999999,0
10000926,Skálaheiði,64.110981,-21.873669,0
10000927,Engihjalli,64.109807000000004,-21.860417999999999,0
10000928,Álfhólsskóli / Efstihjalli,64.110826000000003,-21.862431000000001,0
10000929,Hlíðarvegur / Vogatunga,64.1077307521777,-21.9012575604432,0
10000930,Hlíðarvegur / Grænatunga,64.1082428971891,-21.8949856142625,0
10000931,Hlíðarvegur / Hrauntunga,64.1086400526015,-21.8904403899256,0
10000932,Hlíðarhjalli / Brekkuhjalli,64.1075388010915,-21.8795335956611,0
10000933,Hlíðarhjalli / Bakkahjalli,64.1073332858159,-21.8740787033099,0
10000936,Engihjalli,64.1097074496591,-21.860406318069,0
10000937,Kársnesbraut / Sæbólsbraut,64.1146951648691,-21.9068959221268,0
10000938,Kársnesbraut / Huldubraut,64.114436747609,-21.915096355604,0
10000939,Kársnesbraut / Litlavör,64.1138108977218,-21.9233745698796,0
10000940,Kársnesbraut / Vesturvör,64.1137321861171,-21.9293682771579,0
10000941,Kópavogsbraut / Borgarholtsbraut,64.1110764334112,-21.9356735893651,0
10000942,Kópavogsbraut / Kópavör,64.1092386222099,-21.931263789341,0
10000943,Kársnesskóli,64.1091270432019,-21.9242167724833,0
10000944,Kópavogslaug,64.1090471314352,-21.9172420900144,0
10000945,Vatnsendavegur / Breiðahvarf,64.090773999999996,-21.807935000000001,0
10000946,Álfhólsskóli / Digranes,64.111428000000004,-21.872992,0
10000948,Lundur,64.114587,-21.894919999999999,0
10000949,Lundur,64.1148053730673,-21.8950634999233,0
10000950,Þingmannaleið / Vallakór,64.0847611525669,-21.8202757765777,0
10000951,Boðaþing,64.082119000000006,-21.817871,0
10000953,Vatnsendahvarf / Víkurhvarf,64.093626,-21.808357000000001,0
10000954,Vatnsendahvarf / Ögurhvarf,64.096424999999996,-21.805488,0
10000955,Vatnsendahvarf / Ögurhvarf,64.096530000000001,-21.805769999999999,0
10000956,Vatnsendahvarf / Víkurhvarf,64.093697000000006,-21.808651000000001,0
10000957,Dalaþing,64.08076,-21.813769,0
10000961,Álfhólsskóli / Digranes,64.1113109279616,-21.8712193283921,0
10000962,Álfhólsskóli / Efstihjalli,64.1111001509471,-21.865524664794,0
10000963,Sunnuhlíð,64.1089980214091,-21.9095188983322,0
10000964,Fífuhvammsvegur / Salavegur,64.0943230244082,-21.8617431163278,0
10000965,Fífuhvammsvegur / Salavegur,64.0944757904809,-21.8616214526045,0
10000966,Arnarnesvegur / Salalaug,64.0896855104562,-21.8549341473963,0
10000967,Arnarnesvegur / Salalaug,64.0898393254196,-21.8547591189958,0
10000968,Salavegur / Rjúpnasalir,64.0901261552729,-21.8436348169245,0
10000969,Salavegur / Kórsalir,64.0922066046754,-21.8463327277251,0
10000970,Salavegur / Fensalir,64.0939306587926,-21.8531851724621,0
11000100,Grænamýri,64.146191000000002,-21.977658999999999,0
11000101,Nesvegur / Skerjabraut,64.148336,-21.98321,0
11000102,Eiðistorg,64.150700999999998,-21.987076999999999,0
11000103,Íþróttamiðstöð Seltjarnarness,64.149907999999996,-21.992431,0
11000104,Suðurströnd / Bakkavör,64.151323000000005,-22.002625999999999,0
11000105,Suðurströnd / Miðbraut,64.153259000000006,-22.004812000000001,0
11000106,Lindarbraut / Hæðarbraut,64.155473000000001,-22.003511,0
11000107,Lindarbraut / Hofgarðar,64.157640000000001,-22.001297000000001,0
11000108,Norðurströnd / Bollagarðar,64.157635999999997,-21.992570000000001,0
11000109,Norðurströnd / Fornaströnd,64.154798,-21.986626999999999,0
11000110,Norðurströnd / Austurströnd,64.152591999999999,-21.985946999999999,0
11000111,Eiðistorg,64.150386999999995,-21.9861,0
11000112,Nesvegur / Skerjabraut,64.148036000000005,-21.982980999999999,0
11000113,Grænamýri,64.146086999999994,-21.977692000000001,0
11000147,Norðurströnd / Barðaströnd,64.156782000000007,-21.988204,0
